Individual	Zur_ID	Plate_no	Well	Sample	colony_type	Pair	DorR	Plate_ID	Library_conc	Sent_for_WGS	Conc	Current_volume	Total_DNA_quant	Coverage	Run	Lane	Lane_number	Sample_number	Run_Lane	Project
PD45790b	D03	2	A3	PD45790b_lo0113	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B3	PD45790b_lo0114	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C3	PD45790b_lo0115	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D3	PD45790b_lo0116	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E3	PD45790b_lo0117	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F3	PD45790b_lo0118	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G3	PD45790b_lo0119	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H3	PD45790b_lo0120	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A4	PD45790b_lo0121	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B4	PD45790b_lo0122	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C4	PD45790b_lo0123	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D4	PD45790b_lo0124	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E4	PD45790b_lo0125	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F4	PD45790b_lo0126	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G4	PD45790b_lo0127	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H4	PD45790b_lo0128	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A5	PD45790b_lo0129	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B5	PD45790b_lo0130	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C5	PD45790b_lo0131	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D5	PD45790b_lo0132	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E5	PD45790b_lo0133	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F5	PD45790b_lo0134	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G5	PD45790b_lo0135	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H5	PD45790b_lo0136	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A6	PD45790b_lo0137	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B6	PD45790b_lo0138	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C6	PD45790b_lo0139	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D6	PD45790b_lo0140	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E6	PD45790b_lo0141	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F6	PD45790b_lo0142	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G6	PD45790b_lo0143	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H6	PD45790b_lo0144	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A7	PD45790b_lo0145	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B7	PD45790b_lo0146	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C7	PD45790b_lo0147	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D7	PD45790b_lo0148	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E7	PD45790b_lo0149	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F7	PD45790b_lo0150	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G7	PD45790b_lo0151	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H7	PD45790b_lo0152	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A8	PD45790b_lo0153	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B8	PD45790b_lo0154	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C8	PD45790b_lo0155	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D8	PD45790b_lo0156	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E8	PD45790b_lo0157	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F8	PD45790b_lo0158	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G8	PD45790b_lo0159	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H8	PD45790b_lo0160	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A9	PD45790b_lo0161	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B9	PD45790b_lo0162	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C9	PD45790b_lo0163	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D9	PD45790b_lo0164	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E9	PD45790b_lo0165	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F9	PD45790b_lo0166	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G9	PD45790b_lo0167	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H9	PD45790b_lo0168	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A10	PD45790b_lo0169	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B10	PD45790b_lo0170	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C10	PD45790b_lo0171	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D10	PD45790b_lo0172	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E10	PD45790b_lo0173	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F10	PD45790b_lo0174	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G10	PD45790b_lo0175	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H10	PD45790b_lo0176	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A11	PD45790b_lo0177	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B11	PD45790b_lo0178	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C11	PD45790b_lo0179	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D11	PD45790b_lo0180	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
