target_pop_size	latelife_pop_change
326078.093398892	7.07788289066312
334171.381804832	6.86847073237559
274533.35289376	9.2735
182506.707087811	5.01056928392815
255225.648165944	1.48518554077075
270033.724722732	4.9572695746345
152388.763085655	8.89760591990744
227664.727489259	8.6945480198391
248707.538267626	4.5461584121516
247292.14490621	8.76215277543612
190875.961395311	1.25649798466227
203627.880939016	5.78861858475027
228376.84143908	7.09644020027244
302544.248735196	4.61028137237844
257874.768255459	9.24011113504154
240279.047731928	7.4077
192708.344033178	9.03759437195391
250476.112212274	6.25593876366102
254573.748375237	5.97316616514385
250896.425170673	9.98479590923674
287606.04697941	5.63730077870271
174483.811730452	7.90695316303842
228974.758586492	8.60737951354478
255066.997800603	6.88612914766472
302703.877767344	2.60088655513005
167692.770854679	8.94895722480254
219008.410796341	8.51266353566525
160356.607391664	7.70466957465188
261051.865017652	4.54190356898969
289002.545641876	8.36967110681477
269140.793413422	2.00395343686477
252433.85194251	3.9317538896223
306875.098107969	9.0259570262041
220676.564634619	8.19076709590259
410733.441000996	8.14961215733478
263301.536801238	9.50618730408523
213417.23924328	9.11571728892661
176515.667461989	7.95972146792267
251028.286697458	9.24255032723969
143932.422645762	4.57493612096082
215607.476889245	8.0676609756917
235254.011682996	6.870474007016
265436.009768547	2.9594
281648.742645024	4.01452951284551
313585.199554361	4.53422439747042
278063.023922692	8.4388
165325.973961706	9.1377
342976.458030597	8.81129233136945
227202.095261308	6.96752635599658
303017.898247726	5.84306531816289
297647.870082691	6.38134166557708
232251.700435047	5.17536415004344
308677.64546755	4.1588131615106
318134.576323253	5.2634
246393.001988262	4.18202361923888
257413.629862907	9.71662381924292
201656.866174159	5.68906612148471
255989.846427984	5.70978998116204
231079.247328493	6.26053788062213
288181.429732913	9.75784320197648
197142.199016343	3.48123637890286
201113.278397397	9.10292830900096
225942.071916152	9.90113170028573
142965.261045748	7.01411150481853
215578.984849626	9.95556306883769
205177.838277233	7.02298556211171
254888.17851584	8.80485906036758
196814.034153931	3.2156765824767
249157.359855599	6.0622913193236
236012.345895671	9.47150979067193
212813.354601046	8.9607
223373.017817019	7.48673147061275
241228.735926868	6.33166173447241
346021.144465894	3.12128588643286
231000.59117267	9.15891777837973
249215.703451281	3.64995987370886
245466.475309375	1.85274869348423
308121.379536343	8.20591988143505
247407.87325949	7.53708307336563
269557.240715684	9.96091828863231
375727.918837917	9.36548095766338
188652.351399199	7.51093055384057
300584.462045202	3.69086524512626
228105.416150379	9.2687
246338.456417283	7.04453673175174
178052.168870765	3.2282049707117
212493.346704391	3.28735972514445
165278.534122389	4.7406
254074.575831988	8.86368120733483
369156.995396007	6.51698290405885
318551.511493131	2.4157
244505.063968288	7.48435915947328
201546.105064005	7.183
221478.958424576	6.80492000530707
232542.977951814	9.9097
292324.311069868	6.3609
202688.269496465	9.90989073259623
222902.691643996	3.62663313255036
192529.129484415	5.05289308940298
235029.174270353	4.86928239830676
252034.620223501	9.4775540149936
259724.084983653	5.01909123461761
218282.249980111	7.85647602382871
254175.117065382	4.16260299345079
291028.579354183	2.7546658293478
205430.833279301	5.51021600853343
211289.159178574	7.75928588766676
235369.57549152	9.09870656776305
342975.878448447	4.56482958362727
262324.670637384	9.5210568000465
