largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
26	3	3	62	17	5	96	82	31	64	1	29	19
25	5	5	40	14	12	94	71	31	23	5	67	28
20	5	2	48	15	9	109	87	21	31	2	51	29
10	2	2	65	15	6	114	77	12	58	1	39	29
29	5	3	32	14	14	93	74	35	59	2	36	19
10	5	3	33	28	9	100	65	23	36	1	61	18
27	4	2	58	21	10	91	67	32	64	4	46	18
4	4	3	35	31	5	117	73	9	41	2	53	17
23	4	3	74	10	7	96	86	25	58	3	36	33
17	13	6	66	14	6	88	89	37	56	1	34	29
11	5	3	37	15	9	113	81	17	21	1	62	24
15	6	5	31	29	21	108	81	24	43	0	46	15
10	6	4	35	29	4	102	73	24	35	0	55	17
17	5	2	38	12	9	96	87	23	49	2	32	19
15	4	3	65	11	9	107	84	19	56	2	33	20
8	5	5	73	46	7	110	57	15	111	1	16	13
14	7	3	49	17	9	94	75	26	53	1	39	19
13	5	3	56	12	8	103	70	20	32	2	62	37
7	6	5	37	8	8	83	73	26	35	1	40	24
34	6	5	99	25	8	86	42	44	99	1	42	34
18	6	5	49	14	13	99	72	26	51	3	50	21
8	7	7	43	11	11	98	83	25	36	3	50	23
16	3	2	71	7	6	105	82	23	58	0	35	24
19	4	2	78	14	6	101	83	27	60	0	39	34
3	3	2	41	26	8	118	74	7	26	2	62	24
9	7	3	54	31	7	98	53	24	66	0	53	17
10	3	3	42	13	5	102	85	23	36	1	43	22
8	5	4	50	15	7	109	71	18	53	1	45	23
9	6	2	41	17	11	117	74	13	26	1	58	17
14	10	4	56	22	5	100	90	27	60	1	29	14
6	3	3	50	20	18	116	63	7	53	1	51	14
22	9	3	43	16	7	95	103	34	41	0	30	20
18	4	4	62	15	5	103	65	27	63	0	35	21
13	10	7	40	15	13	91	70	34	41	2	53	18
13	12	4	48	42	3	97	73	27	48	3	48	18
13	11	3	37	28	7	97	71	23	40	4	52	17
20	9	2	71	12	9	105	75	26	74	1	27	16
15	12	9	46	20	18	81	84	42	66	1	25	13
8	3	2	39	14	7	111	87	12	30	2	53	28
14	10	4	47	17	14	97	90	29	39	0	48	20
25	7	4	91	7	6	92	63	34	83	2	30	27
11	7	5	62	9	6	99	75	27	57	0	39	29
8	4	3	43	24	5	115	70	14	29	1	64	21
14	6	3	74	8	7	106	64	23	55	1	53	36
14	5	2	38	25	6	101	71	24	27	0	65	25
6	4	4	56	11	10	105	63	20	46	0	54	25
18	7	4	61	13	7	90	76	33	71	3	27	16
9	3	3	35	29	9	110	57	15	34	0	63	18
7	5	4	30	26	14	103	60	19	46	1	60	14
21	5	5	96	29	3	93	54	30	111	3	18	16
10	9	3	39	27	19	96	75	25	65	2	33	15
32	9	2	52	31	4	93	67	36	53	3	47	22
19	14	3	49	47	6	98	82	34	66	0	37	25
17	5	4	109	7	6	100	54	29	101	0	27	23
3	2	2	32	25	8	121	73	5	33	1	55	22
25	12	11	71	22	4	74	73	50	71	2	34	28
9	6	4	37	24	11	107	56	20	50	1	57	18
13	5	2	75	13	3	114	88	17	51	0	39	28
11	9	4	47	10	7	97	86	26	39	0	43	23
10	3	2	56	27	6	111	53	16	39	1	71	31
7	5	3	49	11	11	113	80	15	57	1	31	16
18	3	2	42	16	7	99	81	26	25	1	54	22
10	6	3	58	13	5	99	77	24	54	0	44	24
8	8	2	86	15	13	110	61	17	70	1	49	41
22	6	3	36	32	9	89	76	28	56	5	41	19
13	9	4	52	24	12	96	80	30	80	0	17	11
6	4	3	49	20	4	116	66	12	34	2	54	27
7	5	4	36	29	5	105	78	19	24	1	61	23
9	3	2	46	20	11	116	90	12	49	0	32	16
18	4	4	38	22	7	104	70	24	36	1	61	27
12	9	6	50	33	12	92	71	31	89	3	15	11
29	6	3	54	17	7	90	76	38	35	0	57	29
16	5	2	65	12	6	103	58	23	36	1	66	34
22	8	2	41	15	11	104	67	27	21	1	70	28
25	4	3	66	15	9	88	60	34	62	2	49	32
21	8	5	50	9	8	96	72	34	54	0	42	21
30	4	3	56	15	6	91	80	35	46	0	43	22
17	6	4	75	9	5	106	74	25	58	0	44	27
9	6	3	48	12	9	116	63	13	33	3	65	30
7	5	2	51	17	8	112	69	13	31	1	61	30
32	9	2	42	31	4	89	91	42	54	0	32	23
12	3	2	40	33	9	109	74	16	44	1	51	17
7	5	5	40	16	13	107	84	20	50	1	38	18
20	5	4	97	20	3	93	50	31	81	1	44	36
20	8	2	37	26	10	102	81	27	59	1	37	12
9	6	4	41	13	13	103	80	23	53	0	37	16
8	8	4	64	7	6	89	68	27	47	5	49	27
20	10	2	48	27	4	98	90	29	41	3	43	21
13	5	4	29	22	18	107	64	22	40	0	57	18
37	9	2	91	19	9	84	60	45	89	1	34	28
9	3	2	62	14	6	120	94	11	60	0	26	20
33	10	7	80	20	9	72	63	56	69	1	43	28
25	8	4	55	10	8	89	70	38	58	2	41	22
20	8	6	45	10	6	89	81	38	34	1	47	23
27	6	6	75	24	10	84	45	44	55	0	74	38
8	5	3	38	31	10	110	55	19	43	0	64	21
11	5	3	70	14	4	111	81	18	45	0	46	34
19	6	3	87	13	3	103	69	27	76	1	33	25
12	7	5	36	18	10	107	70	21	28	1	63	26
24	8	3	59	19	8	91	85	33	68	2	24	15
10	10	2	35	21	8	106	75	22	24	0	60	19
6	3	2	31	24	9	123	77	8	22	1	57	20
31	6	3	46	19	13	90	52	37	29	2	73	29
5	5	4	58	58	17	116	42	14	113	0	28	16
20	8	5	48	18	9	93	97	34	61	0	23	14
15	11	2	43	26	8	96	98	29	59	1	22	15
7	7	3	67	20	6	111	70	16	46	2	56	29
13	2	2	36	33	7	111	95	16	43	2	38	16
8	7	3	77	9	4	107	78	19	66	1	33	25
18	9	2	53	11	4	97	75	26	39	2	46	29
16	5	4	44	12	6	98	70	29	35	0	56	27
13	9	2	39	14	11	110	88	22	53	0	28	16
24	2	2	88	12	8	98	66	27	77	2	33	22
19	14	2	65	27	3	97	89	33	66	1	28	27
19	9	9	53	27	9	79	54	46	50	1	65	28
29	7	2	59	34	3	92	77	36	38	1	58	36
26	9	2	58	24	5	91	75	34	61	1	38	23
13	5	4	63	48	19	102	39	23	60	2	73	41
12	12	4	70	39	8	93	45	31	47	2	80	42
14	11	3	95	27	11	106	44	26	123	0	15	10
15	5	4	90	18	8	105	66	23	98	1	17	16
10	8	6	68	13	4	110	61	21	43	0	55	33
17	10	4	43	18	11	97	81	31	38	0	53	25
19	6	5	78	10	5	92	64	30	62	3	43	20
11	11	6	58	31	14	108	70	25	86	0	22	13
20	10	3	56	11	5	86	65	35	43	2	54	28
8	5	2	70	17	4	117	70	13	44	1	57	34
11	8	3	30	24	6	106	63	23	31	0	57	19
18	10	2	54	10	6	104	80	26	42	1	47	26
16	7	5	59	37	9	73	54	35	49	4	63	34
6	3	2	56	15	4	113	76	13	47	0	44	24
22	4	4	36	16	10	97	81	27	25	0	57	19
28	7	5	31	22	20	83	62	44	57	2	47	15
22	9	2	43	25	7	99	83	31	42	0	46	18
13	7	4	28	24	6	108	89	23	36	0	44	18
6	6	5	32	26	7	106	72	19	32	1	53	17
42	6	2	75	31	7	80	63	43	84	5	31	26
6	5	4	38	25	5	114	69	13	38	2	49	17
9	8	4	90	8	8	107	60	21	55	0	58	37
10	6	5	42	29	12	96	76	29	48	1	44	21
12	3	3	32	21	10	114	92	16	39	0	43	19
35	7	3	49	20	10	81	77	46	41	1	55	31
12	7	2	31	26	8	111	90	19	46	1	36	15
7	5	4	39	23	11	113	80	16	49	1	40	18
30	4	2	38	32	15	98	80	31	50	3	47	21
18	8	6	38	35	12	88	68	34	67	1	32	10
13	5	4	44	30	16	101	56	24	44	0	61	20
33	10	6	47	21	14	74	45	40	48	2	58	23
12	10	5	60	27	8	88	60	32	61	3	50	21
5	5	3	55	25	3	115	97	9	60	2	24	19
11	10	2	37	34	12	107	76	21	43	1	54	20
4	3	3	53	17	6	107	69	13	41	2	54	28
18	12	10	46	37	14	87	49	39	67	1	56	17
26	3	2	44	18	6	101	68	27	39	3	57	28
11	5	3	44	12	8	94	85	23	49	2	36	16
